timeExposed,timeTotal,propTimeExposed,propPopExposued,events,mdrr,exposureId,outcomeId,analysisId,ExposureGroup
37459.0436772653,14095080.397397207,0.0027,0.1902,3503,2.1327,13,1,5,SccsVax
36659.44246213387,12797654.53940045,0.0029,0.1902,346,5.8442,13,2,5,SccsVax
37455.89359547035,14069169.502228033,0.0027,0.1902,172,9.5625,13,3,5,SccsVax
37464.59250551784,14216172.298962265,0.0026,0.1905,54,23.0553,13,4,5,SccsVax
18165.11134883889,12956557.264907056,0.0014,0.1127,3325,2.7224,14,1,5,SccsVax
17742.78097752963,11753867.763525102,0.0015,0.1127,265,10.4291,14,2,5,SccsVax
18161.39637439276,12934191.34874967,0.0014,0.1127,147,16.9149,14,3,5,SccsVax
18179.40294883733,13086857.740108099,0.0014,0.1129,22,87.6417,14,4,5,SccsVax
153431,35907212,0.0043,0.9998,7388,1.5628,1,1,1,Vax_w_history
153431,35907212,0.0043,0.9998,489,3.9066,1,2,1,Vax_w_history
153431,35907212,0.0043,0.9998,305,5.0124,1,3,1,Vax_w_history
153431,35907212,0.0043,0.9998,50,16.9615,1,4,1,Vax_w_history
116959,27380834,0.0043,1,5636,1.6551,2,1,1,Vax_w_history
116959,27380834,0.0043,1,388,4.399,2,2,1,Vax_w_history
116959,27380834,0.0043,1,241,5.7389,2,3,1,Vax_w_history
116959,27380834,0.0043,1,39,20.7143,2,4,1,Vax_w_history
41068,9626845,0.0043,0.9991,1928,2.2221,3,1,1,Vax_w_history
41068,9626845,0.0043,0.9991,111,9.4263,3,2,1,Vax_w_history
41068,9626845,0.0043,0.9991,101,10.0649,3,3,1,Vax_w_history
41068,9626845,0.0043,0.9991,9,80.9758,3,4,1,Vax_w_history
13769,3226958,0.0043,1,618,3.4917,4,1,1,Vax_w_history
13769,3226958,0.0043,1,36,22.1462,4,2,1,Vax_w_history
13769,3226958,0.0043,1,34,23.2268,4,3,1,Vax_w_history
13769,3226958,0.0043,1,5,160.1465,4,4,1,Vax_w_history
21182,4953871,0.0043,1,978,2.8526,5,1,1,Vax_w_history
21182,4953871,0.0043,1,151,7.6614,5,2,1,Vax_w_history
21182,4953871,0.0043,1,71,12.9608,5,3,1,Vax_w_history
21182,4953871,0.0043,1,51,16.691,5,4,1,Vax_w_history
15386,3597856,0.0043,1,704,3.2856,6,1,1,Vax_w_history
15386,3597856,0.0043,1,127,8.588,6,2,1,Vax_w_history
15386,3597856,0.0043,1,48,17.507,6,3,1,Vax_w_history
15386,3597856,0.0043,1,46,18.1099,6,4,1,Vax_w_history
8722,2036501,0.0043,0.9992,455,4.0459,7,1,1,Vax_w_history
8722,2036501,0.0043,0.9992,22,33.7728,7,2,1,Vax_w_history
8722,2036501,0.0043,0.9992,18,40.5608,7,3,1,Vax_w_history
8722,2036501,0.0043,0.9992,0,22026.4658,7,4,1,Vax_w_history
136653,31981221,0.0043,0.9999,6543,1.6023,8,1,1,Vax_w_history
136653,31981221,0.0043,0.9999,405,4.3004,8,2,1,Vax_w_history
136653,31981221,0.0043,0.9999,266,5.4172,8,3,1,Vax_w_history
136653,31981221,0.0043,0.9999,45,18.4423,8,4,1,Vax_w_history
104765,24530938,0.0043,1,5030,1.6986,9,1,1,Vax_w_history
104765,24530938,0.0043,1,326,4.8321,9,2,1,Vax_w_history
104765,24530938,0.0043,1,216,6.1269,9,3,1,Vax_w_history
104765,24530938,0.0043,1,37,21.6344,9,4,1,Vax_w_history
37876,8879693,0.0043,0.9991,1764,2.2894,10,1,1,Vax_w_history
37876,8879693,0.0043,0.9991,106,9.7323,10,2,1,Vax_w_history
37876,8879693,0.0043,0.9991,89,11.0088,10,3,1,Vax_w_history
37876,8879693,0.0043,0.9991,9,80.9842,10,4,1,Vax_w_history
13223,3098887,0.0043,1,595,3.5544,11,1,1,Vax_w_history
13223,3098887,0.0043,1,35,22.6705,11,2,1,Vax_w_history
13223,3098887,0.0043,1,31,25.108,11,3,1,Vax_w_history
13223,3098887,0.0043,1,5,160.1411,11,4,1,Vax_w_history
18844,4407505,0.0043,1,866,3.0012,12,1,1,Vax_w_history
18844,4407505,0.0043,1,125,8.6814,12,2,1,Vax_w_history
18844,4407505,0.0043,1,62,14.3532,12,3,1,Vax_w_history
18844,4407505,0.0043,1,41,19.8722,12,4,1,Vax_w_history
13965,3266592,0.0043,1,637,3.4398,13,1,1,Vax_w_history
13965,3266592,0.0043,1,110,9.4718,13,2,1,Vax_w_history
13965,3266592,0.0043,1,40,20.2771,13,3,1,Vax_w_history
13965,3266592,0.0043,1,39,20.7012,13,4,1,Vax_w_history
7686,1797927,0.0043,0.9991,397,4.3445,14,1,1,Vax_w_history
7686,1797927,0.0043,0.9991,19,38.6424,14,2,1,Vax_w_history
7686,1797927,0.0043,0.9991,13,55.4517,14,3,1,Vax_w_history
7686,1797927,0.0043,0.9991,0,22026.4658,14,4,1,Vax_w_history
149662.13070973026,38027448.33151164,0.0039,0.8081,9149,1.5231,1,1,2,Vax_w_history
141791.64088607416,33630237.7001191,0.0042,0.8081,666,3.3912,1,2,2,Vax_w_history
149852.13047633338,38073313.20568597,0.0039,0.8081,395,4.5478,1,3,2,Vax_w_history
150686.63454893595,39558698.38918319,0.0038,0.8082,67,14.7138,1,4,2,Vax_w_history
114153.46108098477,31361738.94304596,0.0036,0.7323,7679,1.602,2,1,2,Vax_w_history
108127.10073322413,27394122.67729322,0.0039,0.7323,581,3.7299,2,2,2,Vax_w_history
114310.59405608902,31415477.891821954,0.0036,0.7323,342,5.1358,2,3,2,Vax_w_history
114939.30092615655,33020614.134584606,0.0035,0.7323,56,18.0826,2,4,2,Vax_w_history
40770.38763430532,19098383.578988038,0.0021,0.4278,4587,2.0985,3,1,2,Vax_w_history
38777.93732278983,17192244.034634348,0.0023,0.4278,342,6.7889,3,2,2,Vax_w_history
40746.65951584802,19017210.934963267,0.0021,0.4278,216,9.4664,3,3,2,Vax_w_history
40759.67969570172,19198177.24986711,0.0021,0.4284,30,45.5638,3,4,2,Vax_w_history
13752.920837647802,14056307.022033488,0.001,0.1884,3479,3.0988,4,1,2,Vax_w_history
13643.398418473844,12759026.960335832,0.0011,0.1884,283,12.6784,4,2,2,Vax_w_history
13752.393294899586,14026174.851020383,0.001,0.1884,163,20.5391,4,3,2,Vax_w_history
13749.833085976421,14161619.12492421,0.001,0.1887,27,98.9809,4,4,2,Vax_w_history
20983.894931714538,15456576.453066252,0.0014,0.2664,3790,2.6198,5,1,2,Vax_w_history
20303.665712908474,14057132.923012001,0.0014,0.2664,378,8.4429,5,2,2,Vax_w_history
20980.417937810606,15426174.738859344,0.0014,0.2664,200,13.7376,5,3,2,Vax_w_history
20981.022884194233,15554015.462913968,0.0013,0.2668,65,33.7927,5,4,2,Vax_w_history
15261.103974849248,14364156.933044925,0.0011,0.2062,3558,2.9637,6,1,2,Vax_w_history
14902.104978445595,13044409.09482204,0.0011,0.2062,360,10.2081,6,2,2,Vax_w_history
15259.539273062532,14337128.87362789,0.0011,0.2062,180,17.8487,6,3,2,Vax_w_history
15262.178039356864,14481902.074406298,0.0011,0.2065,61,43.8352,6,4,2,Vax_w_history
8699.81728236967,13143203.538191833,7e-4,0.1263,3375,3.7569,7,1,2,Vax_w_history
8506.336028545602,11922102.619862113,7e-4,0.1263,268,17.8065,7,2,2,Vax_w_history
8698.138792688062,13119696.070750104,7e-4,0.1263,152,29.6621,7,3,2,Vax_w_history
8705.337361775311,13272499.037372615,7e-4,0.1265,22,172.1437,7,4,2,Vax_w_history
133464.53337238924,35153222.698810495,0.0038,0.7772,8437,1.5581,8,1,2,Vax_w_history
126474.40469507875,31098391.228385042,0.0041,0.7772,595,3.6353,8,2,2,Vax_w_history
133626.22841740388,35186420.06072175,0.0038,0.7772,360,4.8753,8,3,2,Vax_w_history
134376.32152917495,36531337.78714583,0.0037,0.7774,62,16.0229,8,4,2,Vax_w_history
102457.70957466324,29335710.554221276,0.0035,0.7009,7163,1.6406,9,1,2,Vax_w_history
97134.76641146513,25655953.554079935,0.0038,0.7009,527,3.9943,9,2,2,Vax_w_history
102590.32382020655,29374459.24576937,0.0035,0.7009,318,5.4781,9,3,2,Vax_w_history
103148.7442748492,30818555.794605486,0.0033,0.701,54,19.1743,9,4,2,Vax_w_history
37614.122465146815,18530610.290724106,0.002,0.4055,4454,2.1517,10,1,2,Vax_w_history
35761.04856851172,16687175.973624278,0.0021,0.4055,338,7.0582,10,2,2,Vax_w_history
37591.978621431925,18454374.707943305,0.002,0.4055,206,10.1199,10,3,2,Vax_w_history
37604.394278381034,18633281.57264897,0.002,0.406,30,47.5497,10,4,2,Vax_w_history
13214.217513178986,13957500.21211042,9e-4,0.1821,3461,3.1504,11,1,2,Vax_w_history
13108.472692507907,12668901.87083131,0.001,0.1821,282,13.015,11,2,2,Vax_w_history
13213.714689608032,13927911.413548902,9e-4,0.1821,161,21.2786,11,3,2,Vax_w_history
13211.188448080482,14064120.132423945,9e-4,0.1824,27,101.9416,11,4,2,Vax_w_history
18653.590402663314,15012548.136576777,0.0012,0.2431,3694,2.7387,12,1,2,Vax_w_history
18045.09949338537,13648583.305774916,0.0013,0.2431,358,9.2823,12,2,2,Vax_w_history
18650.559453378435,14983895.314504242,0.0012,0.2431,191,15.171,12,3,2,Vax_w_history
18652.603595205906,15116574.4556027,0.0012,0.2435,56,41.3643,12,4,2,Vax_w_history
